fund_id,fonds,veld,oude_waarde,reden
4,Loodsen (Pilots),deelnemers_pensioengerechtigd,20,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
10,Architectenbureaus (Architecture Firms),deelnemers_totaal,46967,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
18,HiBiN (Building Materials Trade),deelnemers_totaal,36425,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
28,Notariaat (Notaries),deelnemers_totaal,27610,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
77,AT&T Nederland,deelnemers_actief,343,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
85,Citigroup,deelnemers_actief,164,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
92,Ecolab,deelnemers_totaal,653,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
100,Geveke,deelnemers_actief,745,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
113,Mars,deelnemers_totaal,4388,rij bleek fout (ander deelnemersveld gecorrigeerd); dit veld niet uit het verslag te bevestigen
